featureID,Lat,Lon,imageID,timeMillis,NDVI
-12147926_4034595,40.34594792511641,-121.47925930612581,20170331T184921_20170331T185850_T10TFK,1490986730880,0.42764323685764916
-12147914_4034595,40.34594637715033,-121.47914160003262,20170331T184921_20170331T185850_T10TFK,1490986730880,0.39663357790246007
-12147926_4034586,40.345857864290586,-121.47926132917624,20170331T184921_20170331T185850_T10TFK,1490986730880,0.35842771485676217
-12147914_4034586,40.345856316329396,-121.47914362323945,20170331T184921_20170331T185850_T10TFK,1490986730880,0.41241890639481
-12147903_4034585,40.34585476824848,-121.47902591731183,20170331T184921_20170331T185850_T10TFK,1490986730880,0.4409937888198758
-12147938_4034577,40.34576935129983,-121.47938105800698,20170331T184921_20170331T185850_T10TFK,1490986730880,0.38176795580110495
-12147926_4034577,40.34576780346327,-121.47926335221754,20170331T184921_20170331T185850_T10TFK,1490986730880,0.3547703180212014
-12147915_4034577,40.34576625550698,-121.4791456464372,20170331T184921_20170331T185850_T10TFK,1490986730880,0.39503386004514673
-12147903_4034576,40.34576470743096,-121.47902794066599,20170331T184921_20170331T185850_T10TFK,1490986730880,0.4001358695652174
-12147891_4034576,40.345763159235204,-121.47891023490392,20170331T184921_20170331T185850_T10TFK,1490986730880,0.4883720930232558
-12147950_4034568,40.345680838178055,-121.47950078652485,20170331T184921_20170331T185850_T10TFK,1490986730880,0.5328511151295962
-12147938_4034568,40.345679290466116,-121.4793830808827,20170331T184921_20170331T185850_T10TFK,1490986730880,0.3668188736681887
-12147927_4034568,40.345677742634464,-121.4792653752497,20170331T184921_20170331T185850_T10TFK,1490986730880,0.32817990161630356
-12147915_4034568,40.34567619468307,-121.4791476696258,20170331T184921_20170331T185850_T10TFK,1490986730880,0.35600425079702447
-12147903_4034567,40.34567464661195,-121.47902996401103,20170331T184921_20170331T185850_T10TFK,1490986730880,0.40862855138547877
-12147891_4034567,40.3456730984211,-121.47891225840542,20170331T184921_20170331T185850_T10TFK,1490986730880,0.42658366898571953
-12147879_4034567,40.34567155011052,-121.47879455280889,20170331T184921_20170331T185850_T10TFK,1490986730880,0.356140350877193
-12147962_4034559,40.345592324925256,-121.47962051472985,20170331T184921_20170331T185850_T10TFK,1490986730880,0.4052835051546392
-12147950_4034559,40.34559077733795,-121.47950280923503,20170331T184921_20170331T185850_T10TFK,1490986730880,0.46384039900249374
-12147939_4034559,40.34558922963092,-121.47938510374932,20170331T184921_20170331T185850_T10TFK,1490986730880,0.36492890995260663
-12147927_4034559,40.34558768180416,-121.47926739827275,20170331T184921_20170331T185850_T10TFK,1490986730880,0.3330975954738331
